,,Витебская обл.,Гомельская обл,Гродненская обл.,Минская обл.,Могилевская обл.,Брестская обл,г. Минск
Кол-во врачей (отчёты ГУЗО),Все районы,"5,636","7,800","5,350","5,834","4,700",,
Обеспеченность врачами (всего) на 10k населения (официальные данные),Все районы,52,58,54,40,47,,
"Обеспеченность практикующими врачами на 10k населения (конец 2022, Белстат)",Все районы,46,49.3,57.3,38,43.2,48.4,72.2
"Численность населения (01.01.2023, Белстат)",Все районы,"1,091,948","1,347,469","998,600","1,463,888","989,703","1,315,405","1,995,471"
Кол-во врачей (наши данные),Все районы,"5,023","6,643","5,722","5,563","4,276","6,367","14,407"
Кол-во врачей (наши данные),районы с данными,557,749,"1,072","1,773",280,763,
Численность населения (Белстат),районы с данными,"212,812","249,202","262,899","647,505","106,388","258,527",
**Обеспеченность врачами (всего) на 10k населения (наши данные)**,**районы с данными**,**26.2**,**30.1**,**40.8**,**27.4**,**26.3**,**29.5**,
Доля населения отдельных районов от населения области,,19%,18%,26%,44%,11%,20%,
Доля врачей отдельных районов от врачей области,,10%,10%,20%,30%,6%,,
Доля врачей отдельных районов от врачей области,,11%,11%,19%,32%,7%,12%,
Численность населения,районы без данных,,"879,136","1,098,267","735,701","816,383","883,315","1,056,878"
Кол-во врачей,районы без данных,"5,079","7,051","4,278","4,061","4,420","5,604",
"Такой должна быть обеспеченность врачами на 10k населения в районах без данных, чтобы выйти на средний показатель по области, заявленный Минздравом",районы без данных,57.8,64.2,58.1,49.7,50.0,53.0,
