№ позиции,Международное непатентованное наименование,Стоимость в BYN,Доля от общего бюджета (%)
1.,Вакцина для профилактики гриппа инактивированная (для взрослых),"18 671 346,20","51,00"
2.,Вакцина для профилактики полиомиелита тривалентная инактивированная цельновирионная,"5 731 337,47","15,66"
3.,"Вакцина для профилактики дифтерии, столбняка, коклюша, гепатита В, полиомиелита, ХИБ-инфекций","2 553 667,92","6,98"
4.,Вакцина антирабическая,"2 095 653,21","5,72"
5.,"Вакцина для профилактики кори, краснухи, паротита","1 989 629,99","5,43"
6.,"Вакцина для профилактики дифтерии, столбняка, коклюша, гепатита В, гемофильной инфекции","1 083 928,57","2,96"
7.,Вакцина против гепатита А (для детей),"915 774,90","2,50"
8.,Вакцина для профилактики гриппа инактивированная (для детей),"820 513,98","2,24"
9.,Вакцина пневмококковая,"768 255,57","2,10"
10.,Вакцина дифтерийно-столбнячная бесклеточная коклюшная,"647 307,11","1,77"
11.,Вакцина против гепатита В (для детей),"541 455,60","1,48"
12.,Вакцина против гепатита В (для взрослых),"194 271,68","0,53"
13.,"Вакцина для профилактики инфекций, вызываемых Haemophilus influenza типа b","117 457,58","0,32"
14.,Анатоксин дифтерийно-столбнячный с уменьшенным содержанием антигена,"79 278,04","0,22"
15.,"Вакцина для профилактики дифтерии, столбняка, коклюша, полиомиелита","78 451,05","0,21"
16.,Вакцина коклюшно-дифтерийно-столбнячная цельноклеточная,"60 344,82","0,16"
17.,Вакцина туберкулезная для щадящей первичной иммунизации,"56 882,31","0,16"
18.,Вакцина клещевого энцефалита,"52 428,00","0,14"
19.,Вакцина для профилактики сибирской язвы,"44 047,94","0,12"
20.,Анатоксин дифтерийный с уменьшенным содержанием антигена,"32 557,85","0,09"
21.,Вакцина желтой лихорадки,"30 805,85","0,08"
22.,Анатоксин столбнячный,"16 608,22","0,05"
23.,Анатоксин дифтерийно-столбнячный,"9430,33","0,03"
24.,Вакцина против гепатита А (для взрослых),"7 819,33","0,02"
25.,Вакцина против ветряной оспы,"7 805,40","0,02"
26.,[Вакцина туляремийная](https://example.com),"2 077,93","0,01"
ИТОГО:,,"36 609 136,85",100
