№ позиции,Международное непатентованное наименование,Дата протокола (-ов),BYN,USD,EUR,RUB,Cумма в BYN,Доля от общего бюджета (%)
1,Вакцина для профилактики гриппа инактивированная (для взрослых),22.04.2022,,,,"657 089 575,50","23 493 017,62","63,34"
2,Вакцина для профилактики полиомиелита тривалентная инактивированная цельновирионная,"(1) 21.06.2022 (2) 17.08.2022",,,"(1) 762 630,00 (2) 762 625,00",,"4 043 439,25","10,90"
3,"Вакцина для профилактики кори, краснухи, паротита",14.07.2022,,"720 819,00",,,"1 878 025,44","5,06"
4,"Вакцина для профилактики дифтерии, столбняка, коклюша, гепатита В, гемофильной инфекции",17.05.2022,"1 442 676,92",,,,"1 442 676,92","3,89"
5,Вакцина антирабическая,08.04.2022,,,,"39 980 304,00","1 429 421,53","3,85"
6,"Вакцина для профилактики дифтерии, столбняка, коклюша, гепатита В, полиомиелита, ХИБ-инфекций",17.08.2022,,,"398 595,60",,"1 197 465,42","3,23"
7,Вакцина для профилактики гриппа инактивированная (для детей),22.04.2022,,,,"28 307 696,10","1 012 089,11","2,73"
8,Вакцина против гепатита А (для детей),29.04.2022,,"264 014,40",,,"735 994,30","1,98"
9,Вакцина дифтерийно-столбнячная бесклеточная коклюшная,22.04.2022,,"210 536,90",,,"586 914,80","1,58"
10,Вакцина против гепатита В (для детей),05.07.2022,"506 564,69",,,,"506 564,69","1,37"
11,Вакцина против гепатита В (для взрослых),05.07.2022,"191 268,00",,,,"191 268,00","0,52"
12,"Вакцина для профилактики инфекций, вызываемых Haemophilus influenza типа b",22.04.2022,,,"32 030,00",,"96 224,89","0,26"
13,Анатоксин дифтерийно-столбнячный с уменьшенным содержанием антигена,(1) 04.11.2022 (2) 25.11.2022,"(1) 25 287,90 (2) 50 771,33",,,,"76 059,23","0,21"
14,Вакцина клещевого энцефалита,22.04.2022,"63 688,63",,,,"63 688,63","0,17"
15,Вакцина коклюшно-дифтерийно-столбнячная цельноклеточная,22.04.2022,"59 069,62",,,,"59 069,62","0,16"
16,Вакцина туберкулезная для щадящей первичной иммунизации,22.04.2022,"54 005,05",,,,"54 005,05","0,15"
17,"Вакцина для профилактики дифтерии, столбняка, коклюша, полиомиелита",(1) 05.07.2022 (2) 17.08.2022,,,"(1) 4 995,00 (2) 15 000,00",,"52 391,24","0,14"
18,Вакцина туляремийная,"(1) 05.07.2022 (2) 20.09.2022","(1) 15 400,00 (2) 30 246,70",,,,"45 646,70","0,12"
19,Вакцина для профилактики сибирской язвы,08.04.2022,,,,"1 185 600,00","42 388,93","0,11"
20,Анатоксин дифтерийный с уменьшенным содержанием антигена,22.04.2022,"29 961,14",,,,"29 961,14","0,08"
21,Вакцина желтой лихорадки,22.04.2022,,,,"744 800,00","26 628,94","0,07"
22,Анатоксин столбнячный,20.05.22,"15 063,18",,,,"15 063,18","0,04"
23,Анатоксин дифтерийно-столбнячный,(1) 05.07.22 (2) 20.09.22,"(1) 2 673,44 (2) 8 020,32",,,,"10 693,76","0,03"
24,Вакцина пневмококковая,Исключить из годового плана 2022 г.,—,—,—,—,—,0
25,Вакцина против гепатита А (для взрослых),Исключить из годового плана 2022 г.,—,—,—,—,—,0
26,Вакцина против ветряной оспы,Исключить из годового плана 2022 г.,—,—,—,—,—,0
ИТОГО:,,,"2 407 943,93","1 195 370,30","1 955 880,60","727 307 975,60","37 088 698,39",100
