Международное непатентованное наименование,Приказ Министерства здравоохранения Республики Беларусь от 16.12.2021 г. №1585,,Результаты процедур закупок (РУП «Белфармация»),,,
,Заявляемое количество,Стоимость в BYN,Количество к закупке,Стоимость в BYN,Соотношение закупаемого объема с планируемым,Соотношение стоимости по договору и планируемой стоимости закупки
Вакцина для профилактики гриппа инактивированная (для взрослых),3 296 432 доз,"18 671 346,20",3 363 822 дозы,"23 493 017,62",↑ на 2% (на 67 390 доз),"↑ на 25,8% (на 4 821 671,42 BYN)"
Вакцина для профилактики полиомиелита тривалентная инактивированная цельновирионная,304 951 доза,"5 731 337,47",305 051 доза,"4 043 439,25","↑ на 0,03% (на 50 доз)","↓ на 29,5% (на 1 687 898,22 BYN)"
"Вакцина для профилактики кори, краснухи, паротита",80 695 флаконов,"1 989 629,99",80 880 флаконов,"1 878 025,44","↑ на 0,2% (на 185 флаконов)","↓ на 5,6% (на 111 604,55 BYN)"
"Вакцина для профилактики дифтерии, столбняка, коклюша, гепатита В, гемофильной инфекции",175 847 доз,"1 083 928,57",175 847 доз,"1 442 676,92",План = Закупке,"↑ на 33,1% (на 358 748,35 BYN)"
Вакцина антирабическая,90 425 доз,"2 095 653,21",90 716 доз,"1 429 421,53","↑ на 0,3% (на 291 дозу)","↓ на 31,8% (на 666 231,68 BYN)"
"Вакцина для профилактики дифтерии, столбняка, коклюша, гепатита В, полиомиелита, ХИБ-инфекций",31 564 доз,"2 553 667,92",18 036 доз,"1 197 465,42","↓ на 42,9% (на 13 528 доз)","↓ в 2,1 раза (на 1 356 202,50 BYN)"
Вакцина для профилактики гриппа инактивированная (для детей),144 862 доз,"820 513,98",144 912 доз,"1 012 089,11","↑ на 0,03% (на 50 доз)","↑ на 23,3% (на 191 575,13 BYN)"
Вакцина против гепатита А (для детей),25 266 доз,"915 774,90",25 386 доз,"735 994,30","↑ 0,5% (на 120 доз)","↓ на 19,6% (на 179 780,60 BYN)"
Вакцина дифтерийно-столбнячная бесклеточная коклюшная,12 607 доз,"647 307,11",12 607 доз,"586 914,80",План = Закупке,"↓ на 9,3% (на 60 392,31 BYN)"
Вакцина против гепатита В (для детей),103 364 дозы,"541 455,60",103 364 дозы,"506 564,69",План = Закупке,"↓ на 6,4% (на 34 890,91 BYN)"
Вакцина против гепатита В (для взрослых),12 287 доз,"194 271,68",12 419 доз,"191 268,00","↑ на 1,1% (на 132 дозы)","↓ на 1,5% (на 3 003,68 BYN)"
"Вакцина для профилактики инфекций, вызываемых Haemophilus influenza типа b",6 406 доз,"117 457,58",6 406 доз,"96 224,89",План = Закупке,"↓ на 18,1% (на 21 232,69 BYN)"
Анатоксин дифтерийно-столбнячный с уменьшенным содержанием антигена,167 796 ампул,"79 278,04",175 047 ампул,"76 059,23","↑ на 4,3% (на 7 251 ампулу)","↓ на 4,1% (на 3 218,81 BYN)"
Вакцина клещевого энцефалита,4 036 доз,"52 428,00",5 086 доз,"63 688,63",↑ на 26% (на 1 050 доз),"↑ на 21,5% (на 11 260,63 BYN)"
Вакцина коклюшно-дифтерийно-столбнячная цельноклеточная,56 185 ампул,"60 344,82",56 225 ампул,"59 069,62","↑ на 0,07% (на 40 ампул)","↓ на 2,1% (на 1 275,20 BYN)"
Вакцина туберкулезная для щадящей первичной иммунизации,16 474 ампулы,"56 882,31",16 474 ампулы,"54 005,05",План = Закупке,"↓ на 5,1% (на 2 817,26 BYN)"
"Вакцина для профилактики дифтерии, столбняка, коклюша, полиомиелита",1 528 доз,"78 451,05",1 333 дозы,"52 391,24","↓ на 12,8% (на 195 доз)","↓ на 33,2% (на 26 059,81 BYN)"
Вакцина туляремийная,435 доз,"2 077,93",8 040 доз,"45 646,70","↑ 18,5 раз (на 7 605 доз)","↑ 22 раза (на 43 568,77 BYN)"
Вакцина для профилактики сибирской язвы,246 ампул,"44 047,94",257 ампул,"42 388,93","↑ на 4,5% (на 11 ампул)","↓ на 3,8% (на 1 659,01 BYN)"
Анатоксин дифтерийный с уменьшенным содержанием антигена,80 085 ампул,"32 557,85",80 105 ампул,"29 961,14","↑ на 0,02% (на 20 ампул)","↓ на 8% (на 2 596,71 BYN)"
Вакцина желтой лихорадки,755 ампул,"30 805,85",755 ампул,"26 628,94",План = Закупке,"↓ на 13,6% (на 4 176,91 BYN)"
Анатоксин столбнячный,31 006 ампул,"16 608,22",31 476 ампул,"15 063,18","↑ на 1,5% (на 470 ампул)","↓ на 9,3% (на 1 545,04 BYN)"
Анатоксин дифтерийно-столбнячный,8 540 ампул,"9 430,33",8 669 ампул,"10 693,76","↑ на 1,5% (на 129 ампул)","↑ на 13,4% (на 1 263,43 BYN)"
Вакцина пневмококковая,11 870 доз,"768 255,57",Исключить из годового плана 2022 г.,—,,"↓ на 100% (на 768 255,57 BYN)"
Вакцина против гепатита А (для взрослых),172 дозы,"7 819,33",Исключить из годового плана 2022 г.,—,,"↓ на 100% (на 7 819,33 BYN)"
Вакцина против ветряной оспы,77 доз,"7 805,40",Исключить из годового плана 2022 г.,—,,"↓ на 100% (на 7 805,40 BYN)"
ИТОГО:,,"36 609 136,85 BYN",,"37 088 698,39 BYN",,"↑ на 1,3% (на 479 561,54 BYN)"
