№ позиции,Международное непатентованное наименование,Торговое название,Производитель,Преквалификация ВОЗ
1,Вакцина для профилактики гриппа инактивированная (для взрослых)*,"Гриппол Плюс (вакцина гриппозная тривалентная инактивированная полимер-субъединичная) суспензия для внутримышечного и подкожного введения 0,5 мл. (1 доза) в ампулах в контурной ячейковой упаковке №5х1","НПО Петровакс Фарм ООО, РФ",Нет
2,Вакцина для профилактики полиомиелита тривалентная инактивированная цельновирионная,"Имовакс Полио (вакцина для профилактики полиомиелита инактивированная) суспензия для внутримышечного и подкожного введения 0,5 мл. (1 доза) в шприце с закрепленной иглой или в комплекте с 2 отдельными иглами в блистере в упаковке №1","Sanofi Pasteur S.A., Франция",Да
3,"Вакцина для профилактики кори, краснухи, паротита",Приорикс лиофилизат для приготовления раствора для подкожного и внутримышечного введения 2 дозы во флаконах в комплекте с растворителем (вода для инъекций в ампулах 1 мл.) в упаковке №100,"GlaxoSmithKline Biologicals SA, Бельгия",Да
4,"Вакцина для профилактики дифтерии, столбняка, коклюша, гепатита В, гемофильной инфекции","Вакцина для профилактики дифтерии, столбняка, коклюша, гепатита В и инфекции, вызваемой Haemophilus influenzae тип b, конъюгированная, адсорбированная, суспензия для инъекций (1 доза - 0,5 мл.) во флаконах 1 доза в упаковке №50","Serum Institute of India Pvt. Ltd., Индия",Да
5,Вакцина антирабическая,"Вакцина антирабическая культуральная концентрированная очищенная инактивированная сухая лиофилизат для приготовления раствора для внутримышечного введения в ампулах (1 доза) в комплекте с растворителем (вода для инъекций в ампулах 1,1 мл.) в упаковке №5","ФГБНУ ФНЦИРИП им. М.П. Чумакова РАН, РФ",Нет
6,"Вакцина для профилактики дифтерии, столбняка, коклюша, гепатита В, полиомиелита, ХИБ-инфекций","Гексаксим (вакцина для профилактики дифтерии, столбняка, коклюша (ацеллюлярный компонент), гепатита В рекомбинантная, полиомиелита инактивированная и заболеваний, вызванных Haemophilus типа b конъюгированная, адсорбированная) суспензия для внутримышечного введения по 0,5мл (1 доза) в предварительно заполненном шприце вместимостью 1мл с 2-мя отдельными иглами в блистерах в упаковке №1","Sanofi Pasteur S.A., Франция",Да
7,Вакцина для профилактики гриппа инактивированная (для детей)*,"Гриппол Плюс (вакцина гриппозная тривалентная инактивированная полимер-субъединичная) суспензия для внутримышечного и подкожного введения 0,5 мл. (1 доза) в ампулах в контурной ячейковой упаковке №5х1","НПО Петровакс Фарм ООО, РФ",Нет
8,Вакцина против гепатита А (для детей),"Хеалив (вакцина против гепатита А, инактивированная, адсорбированная) суспензия для внутримышечного введения 0,5 мл. (1 доза) во флаконах в упаковке №1","Sinovac Biotech Co., Ltd., Китай",Да
9,Вакцина дифтерийно-столбнячная бесклеточная коклюшная,"Инфанрикс суспензия для внутримышечного введения 0,5 мл. (1 доза) в шприцах в комплекте с 1 или 2 иглами в блистере в упаковке №1","GlaxoSmithKline Biologicals, Франция/ GlaxoSmithKline Biologicals SA, Бельгия",Нет
10,Вакцина против гепатита В (для детей),"Эувакс В суспензия для внутримышечного введения 0,5 мл. (1 доза) во флаконах в упаковке №10","LG Chem, Ltd., Республика Корея",Да
